artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
Pit Baccardi,153,2.7640081883447962,0.9226486000585464,0,0.17647058823529413,7,"0,16,18","0.176,0.111,0.085",0.36764705882169113,generalist
Nemir,150,2.208000930067934,0.7370488175996012,0,0.36666666666666664,7,"0,16,1","0.367,0.113,0.087",0.6366666666634835,moderate
Rounhaa,150,2.241553236363125,0.7482488525931777,0,0.23333333333333334,7,"16,0,17","0.233,0.233,0.120",0.6426666666634534,generalist
Le Rat Luciano,150,2.593644812656887,0.8657799081557822,0,0.2,6,"0,16,11","0.200,0.153,0.087",0.47266666666430335,generalist
L’Skadrille,147,2.616050263324321,0.8732590313288465,16,0.19047619047619047,7,"16,0,17","0.190,0.136,0.082",0.45748299319499186,generalist
Népal,146,2.4186339321132015,0.8073598410193886,0,0.2876712328767123,6,"0,16,11","0.288,0.151,0.075",0.5595890410930923,generalist
Zoxea,145,2.6669422103945872,0.8902471806102542,16,0.13793103448275862,7,"16,11,17","0.138,0.124,0.117",0.4368965517219535,generalist
Darryl Zeuja,145,2.3496246858835055,0.7843239887041125,0,0.25517241379310346,5,"0,17,16","0.255,0.200,0.103",0.5851724137901778,generalist
Expression Direkt,144,2.505670529438077,0.8364133709670497,0,0.22916666666666666,6,"0,17,16","0.229,0.125,0.118",0.5312499999973438,generalist
MHD,143,2.256095783623751,0.753103274127774,0,0.35664335664335667,4,"0,16,10","0.357,0.133,0.098",0.6101398601368093,moderate
Set&Match,143,2.5721379802986615,0.8586007511436268,0,0.1958041958041958,7,"0,16,1","0.196,0.140,0.119",0.49195804195558224,generalist
Don Choa,142,2.6514758569894,0.8850843850087505,0,0.2112676056338028,8,"0,16,11","0.211,0.092,0.077",0.4288732394344753,generalist
Limsa d’Aulnay,141,2.55393329818499,0.8525238789630315,0,0.2624113475177305,5,"0,1,16","0.262,0.106,0.092",0.49184397162874643,generalist
Kerchak,141,2.1590309738205105,0.7207022446165195,0,0.3900709219858156,5,"0,2,16","0.390,0.121,0.099",0.6521276595712074,moderate
Ziak,140,2.4447156721164736,0.8160661397208844,0,0.2785714285714286,5,"0,16,1","0.279,0.129,0.093",0.54999999999725,generalist
Odezenne,140,2.6297028565550953,0.8778163789100365,0,0.17142857142857143,7,"0,16,17","0.171,0.150,0.114",0.46999999999764996,generalist
Monsieur R,139,2.6720409479715013,0.8919491810266216,16,0.17266187050359713,10,"16,19,17","0.173,0.108,0.086",0.43345323740790453,generalist
PRIME,139,2.4812766792444916,0.8282705037258973,0,0.26618705035971224,6,"0,16,8","0.266,0.094,0.094",0.5241007194218404,generalist
Kamini,138,2.5533003112143557,0.8523125827213006,0,0.26811594202898553,7,"0,16,18","0.268,0.138,0.065",0.4818840579686053,generalist
Younès,138,2.6106716986888174,0.8714636223455455,0,0.2028985507246377,6,"0,16,17","0.203,0.174,0.072",0.4550724637658407,generalist
Cabadzi,138,2.276838982279692,0.7600275239477796,0,0.2608695652173913,5,"0,16,17","0.261,0.210,0.145",0.6239130434751414,generalist
Ali (FRA),137,2.4395442740509092,0.8143398846375389,0,0.1897810218978102,8,"0,16,8","0.190,0.182,0.109",0.5653284671504581,generalist
S-Pion,137,2.353189009910188,0.7855137892941546,0,0.32116788321167883,7,"0,16,19","0.321,0.117,0.102",0.5864963503620313,moderate
Flynt,137,2.764300385882662,0.9227461379929089,0,0.17518248175182483,9,"0,16,11","0.175,0.095,0.073",0.3645985401441624,generalist
Gambi,136,2.4007268665733577,0.8013823156917999,0,0.3382352941176471,4,"0,16,1","0.338,0.103,0.103",0.5433823529384596,moderate
Benash,136,2.245655387406319,0.7496181842518868,0,0.375,6,"0,11,16","0.375,0.096,0.088",0.6154411764675113,moderate
Niaks,135,2.340654734955875,0.7813297455246347,0,0.26666666666666666,6,"0,16,19","0.267,0.215,0.081",0.5907407407377868,generalist
Siboy,134,2.4567043519531735,0.8200680593658856,0,0.27611940298507465,8,"0,16,19","0.276,0.104,0.097",0.5313432835794332,generalist
Triptik,134,2.6460431567072646,0.8832709051026539,16,0.15671641791044777,8,"16,17,0","0.157,0.112,0.112",0.45597014925145174,generalist
Kodes,134,1.5937697981221626,0.5320134286337249,0,0.6343283582089553,2,"0,17,14","0.634,0.075,0.037",0.7402985074589852,specialist
Kacem Wapalek,133,2.5935647134098754,0.8657531703702602,0,0.21052631578947367,7,"0,1,17","0.211,0.105,0.098",0.48308270676450216,generalist
Rocé (FRA),131,2.713286321662551,0.9057172250054375,16,0.16030534351145037,7,"16,11,0","0.160,0.137,0.099",0.40801526717353226,generalist
Thabiti,130,2.3769448265200883,0.7934436756927536,0,0.36153846153846153,7,"0,11,16","0.362,0.077,0.069",0.5453846153818885,moderate
La Canaille,129,2.5304803512391265,0.8446950929420298,16,0.21705426356589147,7,"16,0,17","0.217,0.171,0.116",0.5089147286796262,generalist
Tragédie,129,2.213539631736855,0.738897681637892,17,0.31007751937984496,5,"17,16,0","0.310,0.209,0.093",0.6414728682138467,moderate
Le 3ème Œil,127,2.71200193692443,0.9052884868470048,16,0.14960629921259844,9,"16,0,7","0.150,0.134,0.087",0.40669291338379343,generalist
Mafia Trece,126,2.803827756088097,0.9359406983194037,3,0.11904761904761904,8,"3,16,8","0.119,0.111,0.079",0.3428571428554286,generalist
Dika,126,2.4759488128001506,0.8264920182145667,0,0.30158730158730157,4,"0,1,5","0.302,0.135,0.071",0.508730158727615,moderate
Intouchable,126,2.641585119923165,0.8817827758651199,0,0.19047619047619047,8,"0,17,11","0.190,0.095,0.095",0.4539682539659842,generalist
J9ueve,124,2.517341500904223,0.8403092369525303,0,0.20161290322580644,5,"0,16,1","0.202,0.169,0.113",0.524999999997375,generalist
Ärsenik (Group),124,2.7588035266640496,0.9209112413076684,0,0.13709677419354838,5,"0,11,16","0.137,0.121,0.097",0.3766129032239234,generalist
Stomy Bugsy,122,2.7640854565142936,0.9226743928071774,16,0.12295081967213115,7,"16,8,0","0.123,0.107,0.107",0.37950819671941377,generalist
Doums,121,2.3699931402630665,0.7911231458114988,0,0.30578512396694213,7,"0,8,16","0.306,0.099,0.091",0.5723140495839152,moderate
Mino (FRA),121,2.783142125760731,0.9290356652795768,17,0.12396694214876033,9,"17,0,1","0.124,0.107,0.091",0.3623966942130641,generalist
Shtar Academy,120,2.4941095751387694,0.8325542296140768,0,0.2916666666666667,5,"0,16,1","0.292,0.125,0.100",0.5133333333307668,generalist
Bisso Na Bisso,120,2.599802937549933,0.8678355407459871,16,0.18333333333333332,7,"16,0,17","0.183,0.167,0.083",0.4783333333309415,generalist
Beny,120,2.438165250410569,0.8138795552374406,0,0.26666666666666666,6,"0,16,1","0.267,0.150,0.083",0.544999999997275,generalist
Panama Bende,118,2.619093764868267,0.8742749771030445,0,0.22033898305084745,10,"0,16,8","0.220,0.085,0.076",0.444067796607949,generalist
MC Jean Gab’1,118,2.6528933573294653,0.8855575582467528,0,0.19491525423728814,8,"0,16,11","0.195,0.127,0.093",0.4432203389808348,generalist
